researcher_name,skills
Arindam Biswas,"accolade, appreciation, challenging problem, city building, city mission, complex puzzle, cursive handwriting, diffusion, engineering, needed focus, responsibility, sentiment analysis, smart city, smart city mission, urban, urbanization"
Avlokita Agrawal,"akhilesh, architecture, building, building control, commitment, fundamental, global warming, hei, historical, immersive experience, increase population, institution, model, monitoring mechanism, new dwelling, new zealand, nikhat parvez, north, premier, sandeep"
Gaurav Raheja,"abstract modernism, approachesnon rhetoric, approachesnon rhetoric design, architect, architectural, architectural approach, attempt, campus, city, critical regionalism, design culture, diverse campus, enabling environment, environment, exist literature, failure, interview, million toilet, multidimensional, railway station, rhetoric design, share, social thinking, social thinking outlook, sterile abstract, sterile abstract modernism, teaching practice, thinking outlook, traditional teaching, traditional teaching practice, visual impairment"
Harshit Sosan Lakra,general
Mahua Mukherjee,"aptitude, architecture, asian region, building, city, demand, density urban, design communication, digital interface, disaster, educational institution, event, fragile infrastructure, geographical, global population, graduation, integrated digital, integrated digital interface, low density, low density urban sprawl, modeling, open overlay, open overlay panel, overlay panel, shaila bantanur, shankar, situation, sustainable total, sustainable total living, total living, urban sprawl"
Prabhjot Singh Chani,"army cantonment, bhubaneswar precinct, city, component, cost housing, cum hydro, embody energy, embody energy rate, energy consumption, energy rate, energy simulation, energy simulation test, heritage site, housing scheme, hydro turbine, illinois, implication, internal service, low cost, low cost housing scheme, office cum, old bhubaneswar, old bhubaneswar precinct, paradigm shift, prime religious, prime religious heritage site, propose office, propose office cum hydro turbine test lab, rahman azari, religious heritage, sacred site, simulation test, test lab, thermal discomfort, travel experience, traveller, turbine test, wall element, wall ratio, window wall, window wall ratio"
E Rajasekar,"arcgis software, build enclosure, build enclosure wall, building, building construction, building construction industry, building wall, building wall material, carbon emission, civil line, climate datum, climate severity, climate severity variation, climatic condition, composite climate, construction industry, design aid, dimensional model, east, enclosure wall, heat conduction, increase, indoor lighting, multi storeye, multi storeye building, residential zone, residential zone civil line, severity variation, software, storeye building, thermal property, transient heat, transient heat conduction, wall material, zone civil"
Ram Sateesh Pasupuleti,"ajoy ray, campus, chaos chaos, chaos chaos intermittency, chaos intermittency, chicago loop, collection, disaster management, disaster risk, disaster risk reduction, financial, great shift, histopathology image, hydro power, keynote talk, mass underwater, mass underwater concreting, mechanism synthesis, mega hydro, mega hydro power structure, memory storage, novel approach, oral histopathology, oral histopathology image, pace, power structure, quality peer, ramgopal rao, renowned architect, risk reduction, statistical, underwater concreting, urbanization crime"
Saptarshi Kolay,"bir snflandrc, capacity building, colleague, connected intelligence, dedicated group, design, edilen naive, great productivity, greening, heat island, iisc bengaluru, interdisciplinary capacity, island effect, istatistiksel snflandrclardan, kullanm bir, kullanm bir snflandrc olarak, large dedicated, large dedicated group, manufacture enterprise, medicine label, naive bayes, nishath salma, snflandrc olarak, sphere, temel istatistiksel, temel istatistiksel snflandrclardan, tercih edilen, tercih edilen naive bayes, translational interdisciplinary, translational interdisciplinary capacity building, urban heat, urban heat island effect, use, volunteer"
Shubhajit Sadhukhan,"auto rickshaw, demand management, demand management instrument, dixit approach, economic industrial, fluidize bed, fold growth, ghg emission, give, green house, green house gas, healthy environment, house gas, important mode, management instrument, metro station, para transit, public transportation, sixth, static geometry, survival, transfer facility, transportation sector, vortex chamber"
