proposal,skill,mapper_payload
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,decade,"[['D.2.2'], ['Design Tools and Techniques (REVISED)', 'Computer-aided software engineering (CASE)', 'Decision tables', 'Evolutionary prototyping (NEW)', 'Flow charts', 'Modules and interfaces', 'Object-oriented design methods (NEW)', 'Petri nets', 'Programmer workbench**', 'Software libraries', 'State diagrams (NEW)', 'Structured programming**', 'Top-down programming**', 'User interfaces'], ['design tool technique revised', 'computeraided software engineering case', 'decision table', 'evolutionary prototyping new', 'flow chart', 'module interface', 'objectoriented design method new', 'petri net', 'programmer workbench', 'software library', 'state diagram new', 'structured programming', 'topdown programming', 'user interface']]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,pace,"[['C.2.1'], ['Network Architecture and Design', 'Asynchronous Transfer Mode (ATM) (NEW)', 'Centralized networks**', 'Circuit-switching networks', 'Distributed networks', 'Frame relay networks (NEW)', 'ISDN (Integrated Services Digital Network)', 'Network communications', 'Network topology', 'Packet-switching networks (REVISED)', 'Store and forward networks', 'Wireless communication (NEW)'], ['network architecture design', 'asynchronous transfer mode atm new', 'centralized network', 'circuitswitching network', 'distributed network', 'frame relay network new', 'isdn integrated service digital network', 'network communication', 'network topology', 'packetswitching network revised', 'store forward network', 'wireless communication new']]"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,general,"[['C.5.0', 'B.7.0', 'I.1.0', 'D.4.0', 'F.0', 'K.8.0', 'C.2.0', 'D.2.0', 'I.5.0', 'F.1.0', 'A.0', 'D.0', 'I.4.0', 'C.0', 'H.4.0', 'B.6.0', 'G.1.0', 'K.6.0', 'B.2.0', 'I.2.0', 'B.4.0', 'D.1.0', 'B.1.0', 'K.5.0', 'K.7.0', 'B.3.0', 'I.0', 'F.2.0', 'C.1.0', 'K.0', 'I.6.0', 'H.2.0', 'F.3.0', 'K.4.0', 'I.3.0', 'G.2.0', 'B.5.0', 'H.5.0', 'F.4.0', 'I.7.0', 'G.0', 'J.0', 'H.3.0', 'B.0', 'E.0', 'H.0', 'H.1.0', 'D.3.0', 'K.3.0'], ['General', 'General', 'General', 'General', 'GENERAL', 'General', 'Games', 'General', 'Data communications', 'Open Systems Interconnection reference model (OSI)', 'Security and protection (e.g., firewalls) (REVISED)', 'General (K.5.1)', 'Protection mechanisms', 'Standards', 'General', 'General', 'GENERAL', 'Biographies/autobiographies', 'Conference proceedings', 'General literary works (e.g., fiction, plays)', 'GENERAL', 'General', 'Image displays', 'Image processing software', 'GENERAL', 'Hardware/software interfaces', 'Instruction set design (e.g., RISC, CISC, VLIW) (REVISED)', 'Modeling of computer architecture (NEW)', 'System architectures', 'Systems specification methodology', 'General', 'General', 'General', 'Computer arithmetic', 'Conditioning (and ill-conditioning) (REVISED)', 'Error analysis', 'Interval arithmetic (NEW)', 'Multiple precision arithmetic (NEW)', 'Numerical algorithms', 'Parallel algorithms', 'Stability (and instability)', 'General', 'Economics', 'General', 'General', 'Cognitive simulation', 'Philosophical foundations', 'General', 'General', 'General', 'General', 'General', 'General', 'GENERAL', 'General', 'General', 'GENERAL', 'General', 'General', 'Security, integrity, and protection**', 'General', 'General', 'General', 'General', 'General', 'General', 'General', 'General', 'GENERAL', 'GENERAL', 'General', 'GENERAL', 'GENERAL', 'GENERAL', 'General', 'General', 'Standards', 'General'], ['general', 'general', 'general', 'general', 'general', 'general', 'game', 'general', 'data communication', 'open system interconnection reference model osi', 'security protection eg firewall revised', 'general', 'protection mechanism', 'standard', 'general', 'general', 'general', 'biographiesautobiographies', 'conference proceeding', 'general literary work eg fiction play', 'general', 'general', 'image display', 'image processing software', 'general', 'hardwaresoftware interface', 'instruction set design eg risc cisc vliw revised', 'modeling computer architecture new', 'system architecture', 'system specification methodology', 'general', 'general', 'general', 'computer arithmetic', 'conditioning illconditioning revised', 'error analysis', 'interval arithmetic new', 'multiple precision arithmetic new', 'numerical algorithm', 'parallel algorithm', 'stability instability', 'general', 'economics', 'general', 'general', 'cognitive simulation', 'philosophical foundation', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'security integrity protection', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'standard', 'general']]"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,building,"[['B.5.3', 'B.4.5', 'B.6.2', 'B.7.3'], ['Reliability and Testing** (B.8)', 'Built-in tests**', 'Error-checking**', 'Redundant design**', 'Test generation**', 'Testability**', 'Reliability, Testing, and Fault-Tolerance** (B.8)', 'Built-in tests**', 'Diagnostics**', 'Error-checking**', 'Hardware reliability**', 'Redundant design**', 'Test generation**', 'Reliability and Testing** (B.8)', 'Built-in tests**', 'Error-checking**', 'Redundant design**', 'Test generation**', 'Testability**', 'Reliability and Testing** (B.8)', 'Built-in tests**', 'Error-checking**', 'Redundant design**', 'Test generation**', 'Testability**'], ['reliability testing', 'builtin test', 'errorchecking', 'redundant design', 'test generation', 'testability', 'reliability testing faulttolerance', 'builtin test', 'diagnostics', 'errorchecking', 'hardware reliability', 'redundant design', 'test generation', 'reliability testing', 'builtin test', 'errorchecking', 'redundant design', 'test generation', 'testability', 'reliability testing', 'builtin test', 'errorchecking', 'redundant design', 'test generation', 'testability']]"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,capacity building,"[['C.1.3'], ['Other Architecture Styles', 'Adaptable architectures', 'Analog computers (NEW)', 'Capability architectures**', 'Cellular architecture (e.g., mobile) (REVISED)', 'Data-flow architectures', 'Heterogeneous (hybrid) systems (NEW)', 'High-level language architectures**', 'Neural nets', 'Pipeline processors (NEW)', 'Stack-oriented processors**'], ['architecture style', 'adaptable architecture', 'analog computer new', 'capability architecture', 'cellular architecture eg mobile revised', 'dataflow architecture', 'heterogeneous hybrid system new', 'highlevel language architecture', 'neural net', 'pipeline processor new', 'stackoriented processor']]"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,chair,"[['G.1.7'], ['Ordinary Differential Equations', 'Boundary value problems', 'Chaotic systems (NEW)', 'Convergence and stability', 'Differential-algebraic equations (NEW)', 'Error analysis', 'Finite difference methods (NEW)', 'Initial value problems', 'Multistep and multivalue methods (REVISED)', 'One-step (single step) methods (REVISED)', 'Stiff equations'], ['ordinary differential equation', 'boundary value problem', 'chaotic system new', 'convergence stability', 'differentialalgebraic equation new', 'error analysis', 'finite difference method new', 'initial value problem', 'multistep multivalue method revised', 'onestep single step method revised', 'stiff equation']]"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,decade,"[['D.2.2'], ['Design Tools and Techniques (REVISED)', 'Computer-aided software engineering (CASE)', 'Decision tables', 'Evolutionary prototyping (NEW)', 'Flow charts', 'Modules and interfaces', 'Object-oriented design methods (NEW)', 'Petri nets', 'Programmer workbench**', 'Software libraries', 'State diagrams (NEW)', 'Structured programming**', 'Top-down programming**', 'User interfaces'], ['design tool technique revised', 'computeraided software engineering case', 'decision table', 'evolutionary prototyping new', 'flow chart', 'module interface', 'objectoriented design method new', 'petri net', 'programmer workbench', 'software library', 'state diagram new', 'structured programming', 'topdown programming', 'user interface']]"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,demand,"[['E.3'], ['DATA ENCRYPTION', 'Code breaking (NEW)', 'Data encryption standard (DES)**', 'Public key cryptosystems', 'Standards (e.g., DES, PGP, RSA) (NEW)'], ['data encryption', 'code breaking new', 'data encryption standard de', 'public key cryptosystems', 'standard eg de pgp rsa new']]"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,artificial intelligence,"[['I.2'], ['ARTIFICIAL INTELLIGENCE'], ['artificial intelligence']]"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,computer,"[['I.5.4'], ['Applications', 'Computer vision', 'Signal processing', 'Text processing', 'Waveform analysis'], ['application', 'computer vision', 'signal processing', 'text processing', 'waveform analysis']]"
