,researcher_name,skills
0,"Agostinelli, Forest","{'deep learning', 'bioinformatics', 'artificial intelligence', 'reinforcement learning', 'search'}"
1,"Ahmad, Iftikhar","{'previous position senior scientist', 'wide bandgap', 'aluminum content', 'sensor electronic technology', 'computer simulation device', 'position senior', 'previous position', 'universityresearch growth', 'ph texas', 'photonic device', 'inc ph', 'boron nitride gallium oxide', 'sensor electronic', 'tech universityresearch', 'boron nitride', 'growth study', 'inc ph texas tech universityresearch growth study ultra wide bandgap semiconductor including high aluminum content algan', 'ultra wide', 'semiconductor including', 'electronic photonic', 'gallium oxide', 'content algan', 'texas tech', 'fabrication novel high power electronic photonic device', 'including high', 'simulation device', 'bandgap semiconductor', 'computer simulation', 'senior scientist', 'high power', 'electronic technology', 'fabrication novel', 'power electronic', 'high aluminum', 'study ultra', 'nitride gallium', 'novel high'}"
2,"Alexeev, Oleg S.","{'understanding structure', 'property supported', 'structure active', 'supported metal', 'reaction intermediate', 'including tpd', 'catalytic property', 'metal support', 'property metal', 'novosibirsk', 'program pursued', 'boreskov institute', 'intermediate associated', 'structure metal', 'structure active site', 'uv visible', 'place sequence', 'surface goal', 'application combination', 'cluster support', 'data used', 'associated active', 'elementary reaction', 'russiam', 'method characterization', 'xrd', 'catalyst surface', 'site catalyst', 'hrtem', 'condition catalysis', 'involving adsorbed', 'used characterize active site catalyst adsorbed specie actual condition catalysis considerable information gained technique along chemisorption catalytic data used establish dependence catalytic property metal cluster particle size', 'institute catalysis', 'influence promoter structure catalytic property supported metal cluster aggregate objective program pursued application combination various experimental method characterization catalytic material spectroscopic technique', 'catalyst adsorbed', 'reaction involving', 'characterization catalytic', 'actual condition', 'spectroscopic technique', 'cluster particle', 'adsorbed reactant', 'metal cluster', 'structure catalytic', 'russiacatalytic process', 'ftir', 'characterize active', 'information gained', 'goal focused', 'exafs', 'tpr', 'objective program', 'establish dependence', 'pursued application', 'used characterize', 'sequence elementary', 'specie actual', 'chemisorption catalytic', 'adsorbed specie', 'dependence catalytic', 'aggregate objective', 'structure metal support interface', 'surface take', 'catalysis considerable', 'material spectroscopic', 'combination various', 'russiacatalytic process surface take place sequence elementary reaction involving adsorbed reactant', 'catalytic material', 'focused fundamental', 'reaction intermediate associated active site catalyst surface goal focused fundamental understanding structure metal support interface', 'xps', 'active site', 'gained technique', 'considerable information', 'influence promoter', 'boreskov institute catalysis', 'structure metal cluster support', 'fundamental understanding', 'various experimental', 'support interface', 'experimental method', 'ph', 'catalytic data', 'along chemisorption', 'take place', 'novosibirsk state', 'cluster aggregate', 'product', 'technique along', 'used establish', 'particle size', 'process surface', 'promoter structure'}"
3,"Ali, Mohammod","{'cyber system', 'engineering usc', 'system directorate', 'directorate engineering', 'british columbia', 'ali professor', 'main streetcolumbia', 'working program', 'engineering prof', 'electrical engineering', 'engineering bangladesh', 'ph degree', 'usc july', 'department electrical', 'dhaka received sc ph degree electrical engineering', 'swearingenroom main streetcolumbia', 'electronic engineering', 'program director', 'assignment division', 'foundation nsf', 'ha working', 'intergovernmental personnel', 'cyber system directorate engineering prof ali received sc electrical electronic engineering bangladesh engineering technology', 'professor department', 'bangladesh engineering', 'engineering technology', 'communication', 'national science', 'science foundation', 'act assignment', 'prof ali', 'dhaka received', 'sc electrical', 'ali received', 'ipa intergovernmental', 'received sc', 'director national', 'swearingenroom main', 'personnel act', 'electrical electronic', 'degree electrical', 'sc mohammod ali professor department electrical engineering usc july', 'respectively victoria', 'sc mohammod', 'sc ph', 'mohammod ali', 'division electrical', 'ha working program director national science foundation nsf ipa intergovernmental personnel act assignment division electrical', 'canada', 'nsf ipa'}"
4,"Ammal, Salai C.","{'india', 'cv dr', 'dr ammal', 'ammal pdfph', 'bharathidasan', 'cv dr ammal pdfph'}"
5,"Bakos, Jason D. ","{'performance computing', 'computer architecture', 'embedded system', 'high performance', 'high performance computing', 'heterogeneous computing', 'reconfigurable computing'}"
6,"Banerjee, Sourav ","{'metamaterials', 'ultrasonics', 'acoustic', 'wave propagation', 'biomedical'}"
7,"Bayat, Mahmoud","{'structural health', 'probabilistic analysis', 'health monitoring', 'nonlinear vibration', 'machine learning', 'structural health monitoring', 'earthquake eng'}"
8,"Bayoumi, Abdel-Moez E. ","{'hewlett packard', 'aerospace center', 'associate dean corporate relation professor mechanical biomedical engineering prior joining usc', 'project manager hewlett packard company', 'actively involved', 'tribology', 'relation professor', 'national science', 'behavior material', 'industry ha', 'condition based', 'wa professor', 'manager hewlett', 'manufacturing process', 'year teaching', 'activity focused', 'packard company', 'mechanical system', 'life prediction', 'bayoumi ha', 'director mcnair', 'nuclear aerospace', 'foundation various', 'aerospace engineering', 'condition based maintenance', 'mechanical behavior', 'biomedical', 'sc bayoumi ha year teaching', 'diagnosis prognosis life prediction mechanical system', 'science foundation', 'department defense', 'ha actively', 'health monitoring', 'mechanical biomedical', 'mcnair aerospace', 'department energy', 'director center', 'director center predictive maintenance', 'engineering north', 'associate dean', 'mechanical aerospace', 'ha year', 'journal conference', 'diagnosis prognosis', 'corporate relation', 'north state', 'various industry', 'dr bayoumi', 'material engineering', 'prognosis life', 'main streetroom', 'experience currently', 'predictive maintenance', 'funding department', 'biomedical engineering', 'industry experience', 'engineering activity', 'based maintenance', 'ha received', 'health monitoring system', 'monitoring system', 'digital transformation dr bayoumi ha received funding department defense', 'dean corporate', 'involved developing', 'state ha', 'prediction mechanical', 'developing strong', 'engineering washington', 'digital transformation', 'professor mechanical', 'published journal', 'washington state', 'conference paper', 'sc bayoumi', 'program mechanical', 'center predictive', 'focused mechanical', 'national science foundation various industry ha published journal conference paper', 'strong program', 'engineering prior', 'received funding', 'joining usc', 'prior joining', 'currently director', 'wa professor mechanical aerospace engineering north state', 'project manager', 'professor mechanical material engineering washington state ha actively involved developing strong program mechanical', 'mechanical material', 'transformation dr', 'nuclear aerospace engineering activity focused mechanical behavior material', 'ha published', 'industry experience currently director mcnair aerospace center'}"
9,"Benigni, Andrea","{'sc', 'main streetcolumbia', 'swearingenroom main', 'swearingenroom main streetcolumbia'}"
10,"Berge, Nicole D.","{'waste treatment', 'specific area', 'recovery waste', 'thermochemical conversion', 'main street', 'leachate treatment', 'room berge focus improving understanding physical', 'promote sustainable', 'personal care product endocrine disrupting compound bioreactor landfill thermochemical conversion municipal solid waste increasing energy yield waste stream resource recovery waste stream leachate treatment process development subsequent evaluation innovative groundwater remediation technology', 'added product', 'compound bioreactor', 'remediation technology', 'care product', 'groundwater remediation', 'energy generation', 'increasing energy', 'chemical', 'process manipulated', 'manipulated promote', 'technique lead', 'bioreactor landfill', 'solid waste', 'sustainable waste', 'conversion municipal', 'endocrine disrupting', 'fate disposed', 'area exploration', 'waste increasing', 'production specific', 'disrupting compound', 'energy yield', 'value added product production specific area exploration fate disposed nanomaterials', 'focus improving', 'yield waste', 'resource recovery', 'municipal solid', 'waste stream', 'biological process', 'biological process manipulated promote sustainable waste treatment technique lead carbon sequestration', 'treatment technique', 'product production', 'lead carbon', 'understanding physical', 'room berge', 'disposed nanomaterials', 'improving understanding', 'pharmaceutical', 'personal care', 'value added', 'innovative groundwater', 'development subsequent', 'berge focus', 'landfill thermochemical', 'stream leachate', 'evaluation innovative', 'process development', 'treatment process', 'subsequent evaluation', 'product endocrine', 'carbon sequestration', 'exploration fate', 'stream resource'}"
11,"Besmann, Theodore  M.","{'fuel waste', 'nuclear fuel', 'waste material', 'nuclear fuel waste material'}"
12,"Bischoff, Jeff ","{'passive mechanic', 'modeling growth', 'constitutive evolution', 'bischoff biomedical', 'theoretical framework', 'framework modeling', 'hypertrophic scar', 'mechanic soft', 'analysis structural', 'theoretical framework modeling growth tissue', 'soft tissue', 'dr bischoff', 'evolution artificial', 'testing modeling', 'structural constitutive', 'analysis structural constitutive evolution artificial tissue scaffolding', 'dr bischoff biomedical engineering', 'constitutive testing', 'tissue scaffolding', 'modeling hypertrophic', 'growth tissue', 'biomedical engineering', 'artificial tissue', 'passive mechanic soft tissue', 'constitutive testing modeling hypertrophic scar'}"
13,"Blanchette, James  Otto","{'design instructive', 'geometry culture', 'cell enhance', 'cell cell', 'signaling three', 'orally extending', 'brougham cook', 'following transplantation', 'chemotherapeutics administered', 'proper function', 'main streetcolumbia', 'engineering specific', 'transplantation mesenchymal', 'hypoxic signaling', 'spectrum chemotherapeutics', 'vascularization skiles', 'responsive delivery', 'three dimensional', 'extending proper', 'cell following', 'developing responsive', 'pancreatic islet', 'delivery system', 'induction pre', 'angiogenic behavior', 'tissue engineering', 'administered orally', 'cell instructive', 'impact induction', 'room main streetcolumbia', 'function pancreatic', 'system expand', 'skiles l', 'differentially impact', 'expand spectrum', 'material tracking', 'transplantation genetic', 'islet cell', 'area design', 'cell aggregate', 'room main', 'genetic engineering', 'pre angiogenic', 'aggregate transplantation', 'spheroid geometry', 'engineering design', 'specific project', 'brougham cook blanchette asc spheroid geometry culture oxygenation differentially impact induction pre angiogenic behavior endothelial cell cell transplantation', 'instructive material', 'blanchette asc', 'culture oxygenation', 'sc fall', 'sc fall area design cell instructive material', 'behavior endothelial', 'delivery therapeutic tissue engineering specific project developing responsive delivery system expand spectrum chemotherapeutics administered orally extending proper function pancreatic islet cell following transplantation genetic engineering design instructive hydrogel material tracking hypoxic signaling three dimensional cell aggregate transplantation mesenchymal stem cell enhance vascularization skiles l', 'delivery therapeutic', 'dimensional cell', 'hanna', 'stem cell', 'asc spheroid', 'tracking hypoxic', 'rucker', 'tipton', 'cook blanchette', 'instructive hydrogel', 'design cell', 'project developing', 'endothelial cell', 'enhance vascularization', 'oxygenation differentially', 'cell transplantation', 'hydrogel material', 'therapeutic tissue', 'fall area', 'mesenchymal stem'}"
14,"Boltin, Nicholas D.","{'supervised unsupervised', 'artificial neural', 'article press', 'valafar application dimensional reduction artificial neural network improve emergency department triage chemical mass casualty incident article press boltin', 'developing decision', 'algorithm using', 'informatic tool', 'latest software', 'information data', 'technique many', 'predictive modeling', 'mobile decision', 'technique including', 'area one', 'using latest', 'improve emergency', 'two broad', 'machine learning', 'statistical analysis', 'tool created', 'design evaluate', 'information science computer science focus categorized two broad area one', 'development human', 'decision support', 'deploy sophisticated', 'edit initial', 'science computer', 'statistic', 'focus categorized', 'boltin focus', 'valafar mobile', 'including data', 'supervised unsupervised machine learning', 'sophisticated algorithm', 'unsupervised machine', 'dimensional reduction', 'data science', 'system healthcare', 'valafar mobile decision support tool emergency department mass casualty incident edit initial study jmir mhealth uhealth', 'field employ', 'culley jm', 'interdisciplinary field', 'dr boltin', 'categorized two', 'press boltin', 'healthcare industry', 'human computer', 'valdes', 'science interdisciplinary', 'science focus', 'reduction artificial', 'software development', 'employ technique', 'many discipline', 'created deploy', 'department triage', 'casualty incident', 'dimension reduction', 'information science', 'discipline mathematics', 'focus developing', 'neural network', 'data utilizing', 'study jmir', 'interaction boltin', 'tool emergency', 'broad area', 'industry data', 'valafar application', 'mhealth uhealth', 'culley', 'incident edit', 'network improve', 'translational informatic', 'application dimensional', 'chemical mass', 'utilizing analytical', 'well predictive modeling two', 'mass casualty', 'design evaluate translational informatic tool created deploy sophisticated algorithm using latest software development human computer interaction boltin', 'support system', 'glean information data utilizing analytical technique including data mining', 'support tool', 'emergency department', 'triage chemical', 'data mining', 'modeling two', 'analytical technique', 'department mass', 'incident article', 'computer interaction', 'well predictive', 'dr boltin focus developing decision support system healthcare industry data science interdisciplinary field employ technique many discipline mathematics', 'glean information', 'initial study', 'computer science', 'evaluate translational', 'jmir mhealth'}"
15,"Booth, Kristen","{'power electronics', 'power electronics reliability', 'power grid', 'transformer optimization', 'electronics reliability', 'medium frequency transformer optimization', 'frequency transformer', 'medium frequency', 'grid resiliency', 'power grid resiliency'}"
