proposal_id,year,proposal_link,title,skills,researcher_name,team,goodness
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education (2021),"['advanced', 'technological', 'education', 'advanced technological', 'technological education', 'focus', 'two-year', 'institutions', 'higher', 'ihes', 'focus two-year', 'two-year institutions', 'institutions higher', 'higher education', 'education ihes', 'ate', 'supports', 'technicians', 'high-technology', 'fields', 'drive', 'our', 'nation', 'economy', 'involves', 'partnerships', 'between', 'academic', 'grades', 'education ate', 'ate supports', 'supports education', 'education technicians', 'technicians high-technology', 'high-technology fields', 'fields drive', 'drive our', 'our nation', 'nation economy', 'economy involves']","Agostinelli, Forest","[['Agostinelli, Forest', 'Lyons, Jed', 'Gholizadeh, Sona'], ['Agostinelli, Forest', 'Dillon, Anthony L', 'Gholizadeh, Sona'], ['Agostinelli, Forest', 'Gholizadeh, Sona'], ['Agostinelli, Forest', 'Brookshire, Robert G., Ph.D.', 'Gumina, Sharon'], ['Agostinelli, Forest', 'Gerdes, Jr., John H.', 'Regan, Elizabeth A.']]","[0.1156, 0.1125, 0.0781, 0.075, 0.075]"
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education (2021),"['advanced', 'technological', 'education', 'advanced technological', 'technological education', 'focus', 'two-year', 'institutions', 'higher', 'ihes', 'focus two-year', 'two-year institutions', 'institutions higher', 'higher education', 'education ihes', 'ate', 'supports', 'technicians', 'high-technology', 'fields', 'drive', 'our', 'nation', 'economy', 'involves', 'partnerships', 'between', 'academic', 'grades', 'education ate', 'ate supports', 'supports education', 'education technicians', 'technicians high-technology', 'high-technology fields', 'fields drive', 'drive our', 'our nation', 'nation economy', 'economy involves']","Ahmad, Iftikhar","[['Ahmad, Iftikhar', 'Gholizadeh, Sona'], ['Ahmad, Iftikhar', 'Lyons, Jed'], ['Ahmad, Iftikhar', 'Dillon, Anthony L'], ['Ahmad, Iftikhar', 'Gumina, Sharon'], ['Ahmad, Iftikhar', 'Brookshire, Robert G., Ph.D.']]","[0.0781, 0.0688, 0.0594, 0.05, 0.05]"
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education (2021),"['advanced', 'technological', 'education', 'advanced technological', 'technological education', 'focus', 'two-year', 'institutions', 'higher', 'ihes', 'focus two-year', 'two-year institutions', 'institutions higher', 'higher education', 'education ihes', 'ate', 'supports', 'technicians', 'high-technology', 'fields', 'drive', 'our', 'nation', 'economy', 'involves', 'partnerships', 'between', 'academic', 'grades', 'education ate', 'ate supports', 'supports education', 'education technicians', 'technicians high-technology', 'high-technology fields', 'fields drive', 'drive our', 'our nation', 'nation economy', 'economy involves']","Alexeev, Oleg S.","[['Alexeev, Oleg S.', 'Gholizadeh, Sona'], ['Alexeev, Oleg S.', 'Lyons, Jed'], ['Alexeev, Oleg S.', 'Dillon, Anthony L'], ['Alexeev, Oleg S.', 'Ortiz-Hernandez, Ivelisse'], ['Alexeev, Oleg S.', 'Devereux, Emily']]","[0.0969, 0.0875, 0.0781, 0.0781, 0.0688]"
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education (2021),"['advanced', 'technological', 'education', 'advanced technological', 'technological education', 'focus', 'two-year', 'institutions', 'higher', 'ihes', 'focus two-year', 'two-year institutions', 'institutions higher', 'higher education', 'education ihes', 'ate', 'supports', 'technicians', 'high-technology', 'fields', 'drive', 'our', 'nation', 'economy', 'involves', 'partnerships', 'between', 'academic', 'grades', 'education ate', 'ate supports', 'supports education', 'education technicians', 'technicians high-technology', 'high-technology fields', 'fields drive', 'drive our', 'our nation', 'nation economy', 'economy involves']","Ali, Mohammod","[['Ali, Mohammod', 'Gholizadeh, Sona', 'Ortiz-Hernandez, Ivelisse'], ['Ali, Mohammod', 'Dillon, Anthony L', 'Bayoumi, Abdel-Moez E.'], ['Ali, Mohammod', 'Gholizadeh, Sona'], ['Ali, Mohammod', 'Brookshire, Robert G., Ph.D.', 'Gerdes, Jr., John H.'], ['Ali, Mohammod', 'Gumina, Sharon']]","[0.1125, 0.0844, 0.0781, 0.075, 0.05]"
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education (2021),"['advanced', 'technological', 'education', 'advanced technological', 'technological education', 'focus', 'two-year', 'institutions', 'higher', 'ihes', 'focus two-year', 'two-year institutions', 'institutions higher', 'higher education', 'education ihes', 'ate', 'supports', 'technicians', 'high-technology', 'fields', 'drive', 'our', 'nation', 'economy', 'involves', 'partnerships', 'between', 'academic', 'grades', 'education ate', 'ate supports', 'supports education', 'education technicians', 'technicians high-technology', 'high-technology fields', 'fields drive', 'drive our', 'our nation', 'nation economy', 'economy involves']","Ammal, Salai C.","[['Ammal, Salai C.', 'Lyons, Jed', 'Dillon, Anthony L'], ['Ammal, Salai C.', 'Gholizadeh, Sona', 'Brookshire, Robert G., Ph.D.'], ['Ammal, Salai C.', 'Gholizadeh, Sona'], ['Ammal, Salai C.', 'Gumina, Sharon', 'Regan, Elizabeth A.'], ['Ammal, Salai C.', 'Devereux, Emily', 'Gerdes, Jr., John H.']]","[0.1031, 0.1031, 0.0781, 0.075, 0.075]"
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education (2021),"['advanced', 'technological', 'education', 'advanced technological', 'technological education', 'focus', 'two-year', 'institutions', 'higher', 'ihes', 'focus two-year', 'two-year institutions', 'institutions higher', 'higher education', 'education ihes', 'ate', 'supports', 'technicians', 'high-technology', 'fields', 'drive', 'our', 'nation', 'economy', 'involves', 'partnerships', 'between', 'academic', 'grades', 'education ate', 'ate supports', 'supports education', 'education technicians', 'technicians high-technology', 'high-technology fields', 'fields drive', 'drive our', 'our nation', 'nation economy', 'economy involves']","Bakos, Jason D.","[['Bakos, Jason D.', 'Gholizadeh, Sona', 'Gumina, Sharon', 'Lyons, Jed'], ['Bakos, Jason D.', 'Lyons, Jed', 'Ortiz-Hernandez, Ivelisse'], ['Bakos, Jason D.', 'Dillon, Anthony L', 'Gumina, Sharon'], ['Bakos, Jason D.', 'Gholizadeh, Sona'], ['Bakos, Jason D.', 'Brookshire, Robert G., Ph.D.', 'Gerdes, Jr., John H.']]","[0.1406, 0.1031, 0.0844, 0.0781, 0.075]"
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education (2021),"['advanced', 'technological', 'education', 'advanced technological', 'technological education', 'focus', 'two-year', 'institutions', 'higher', 'ihes', 'focus two-year', 'two-year institutions', 'institutions higher', 'higher education', 'education ihes', 'ate', 'supports', 'technicians', 'high-technology', 'fields', 'drive', 'our', 'nation', 'economy', 'involves', 'partnerships', 'between', 'academic', 'grades', 'education ate', 'ate supports', 'supports education', 'education technicians', 'technicians high-technology', 'high-technology fields', 'fields drive', 'drive our', 'our nation', 'nation economy', 'economy involves']","Banerjee, Sourav","[['Banerjee, Sourav', 'Gholizadeh, Sona'], ['Banerjee, Sourav', 'Lyons, Jed'], ['Banerjee, Sourav', 'Dillon, Anthony L'], ['Banerjee, Sourav', 'Ortiz-Hernandez, Ivelisse'], ['Banerjee, Sourav', 'Gumina, Sharon']]","[0.0781, 0.0688, 0.0594, 0.0594, 0.05]"
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education (2021),"['advanced', 'technological', 'education', 'advanced technological', 'technological education', 'focus', 'two-year', 'institutions', 'higher', 'ihes', 'focus two-year', 'two-year institutions', 'institutions higher', 'higher education', 'education ihes', 'ate', 'supports', 'technicians', 'high-technology', 'fields', 'drive', 'our', 'nation', 'economy', 'involves', 'partnerships', 'between', 'academic', 'grades', 'education ate', 'ate supports', 'supports education', 'education technicians', 'technicians high-technology', 'high-technology fields', 'fields drive', 'drive our', 'our nation', 'nation economy', 'economy involves']","Bayat, Mahmoud","[['Bayat, Mahmoud', 'Lyons, Jed', 'Dillon, Anthony L'], ['Bayat, Mahmoud', 'Gholizadeh, Sona', 'Devereux, Emily'], ['Bayat, Mahmoud', 'Gholizadeh, Sona'], ['Bayat, Mahmoud', 'Gumina, Sharon', 'Gerdes, Jr., John H.'], ['Bayat, Mahmoud', 'Gray, Joshua', 'Brookshire, Robert G., Ph.D.']]","[0.1031, 0.1031, 0.0781, 0.075, 0.075]"
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education (2021),"['advanced', 'technological', 'education', 'advanced technological', 'technological education', 'focus', 'two-year', 'institutions', 'higher', 'ihes', 'focus two-year', 'two-year institutions', 'institutions higher', 'higher education', 'education ihes', 'ate', 'supports', 'technicians', 'high-technology', 'fields', 'drive', 'our', 'nation', 'economy', 'involves', 'partnerships', 'between', 'academic', 'grades', 'education ate', 'ate supports', 'supports education', 'education technicians', 'technicians high-technology', 'high-technology fields', 'fields drive', 'drive our', 'our nation', 'nation economy', 'economy involves']","Bayoumi, Abdel-Moez E.","[['Bayoumi, Abdel-Moez E.', 'Gholizadeh, Sona'], ['Bayoumi, Abdel-Moez E.', 'Lyons, Jed'], ['Bayoumi, Abdel-Moez E.', 'Dillon, Anthony L'], ['Bayoumi, Abdel-Moez E.', 'Gumina, Sharon'], ['Bayoumi, Abdel-Moez E.', 'Regan, Elizabeth A.']]","[0.0781, 0.0688, 0.0594, 0.05, 0.05]"
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education (2021),"['advanced', 'technological', 'education', 'advanced technological', 'technological education', 'focus', 'two-year', 'institutions', 'higher', 'ihes', 'focus two-year', 'two-year institutions', 'institutions higher', 'higher education', 'education ihes', 'ate', 'supports', 'technicians', 'high-technology', 'fields', 'drive', 'our', 'nation', 'economy', 'involves', 'partnerships', 'between', 'academic', 'grades', 'education ate', 'ate supports', 'supports education', 'education technicians', 'technicians high-technology', 'high-technology fields', 'fields drive', 'drive our', 'our nation', 'nation economy', 'economy involves']","Benigni, Andrea","[['Benigni, Andrea', 'Gholizadeh, Sona', 'Dillon, Anthony L'], ['Benigni, Andrea', 'Smoak, Wilson', 'Brookshire, Robert G., Ph.D.'], ['Benigni, Andrea', 'Gholizadeh, Sona'], ['Benigni, Andrea', 'Smoak, Wilson'], ['Benigni, Andrea', 'Gumina, Sharon']]","[0.1125, 0.0844, 0.0781, 0.0594, 0.05]"
