,researcher_name,skills
0,"Agostinelli, Forest","{'reinforcement learning', 'artificial intelligence', 'deep learning', 'search', 'bioinformatics'}"
1,"Ahmad, Iftikhar","{'electronic technology', 'tech universityresearch', 'inc ph', 'fabrication novel high power electronic photonic device', 'universityresearch growth', 'previous position', 'content algan', 'novel high', 'computer simulation', 'nitride gallium', 'ph texas', 'senior scientist', 'bandgap semiconductor', 'growth study', 'study ultra', 'high aluminum', 'gallium oxide', 'fabrication novel', 'boron nitride', 'semiconductor including', 'computer simulation device', 'previous position senior scientist', 'simulation device', 'boron nitride gallium oxide', 'including high', 'wide bandgap', 'electronic photonic', 'inc ph texas tech universityresearch growth study ultra wide bandgap semiconductor including high aluminum content algan', 'sensor electronic', 'photonic device', 'ultra wide', 'power electronic', 'high power', 'texas tech', 'aluminum content', 'position senior', 'sensor electronic technology'}"
2,"Alexeev, Oleg S.","{'novosibirsk state', 'actual condition', 'focused fundamental', 'process surface', 'fundamental understanding', 'supported metal', 'reaction intermediate associated active site catalyst surface goal focused fundamental understanding structure metal support interface', 'spectroscopic technique', 'goal focused', 'support interface', 'considerable information', 'russiacatalytic process surface take place sequence elementary reaction involving adsorbed reactant', 'adsorbed reactant', 'metal support', 'experimental method', 'xps', 'ph', 'used characterize active site catalyst adsorbed specie actual condition catalysis considerable information gained technique along chemisorption catalytic data used establish dependence catalytic property metal cluster particle size', 'dependence catalytic', 'cluster support', 'boreskov institute catalysis', 'characterization catalytic', 'property metal', 'xrd', 'metal cluster', 'pursued application', 'promoter structure', 'material spectroscopic', 'adsorbed specie', 'involving adsorbed', 'associated active', 'along chemisorption', 'hrtem', 'site catalyst', 'catalytic property', 'aggregate objective', 'place sequence', 'uv visible', 'catalytic data', 'surface goal', 'particle size', 'elementary reaction', 'cluster particle', 'technique along', 'exafs', 'application combination', 'used characterize', 'method characterization', 'influence promoter', 'property supported', 'product', 'tpr', 'boreskov institute', 'catalysis considerable', 'data used', 'intermediate associated', 'cluster aggregate', 'catalyst adsorbed', 'understanding structure', 'specie actual', 'used establish', 'structure active site', 'structure metal', 'establish dependence', 'structure metal cluster support', 'condition catalysis', 'information gained', 'surface take', 'program pursued', 'various experimental', 'novosibirsk', 'sequence elementary', 'reaction involving', 'objective program', 'institute catalysis', 'structure catalytic', 'combination various', 'structure active', 'characterize active', 'catalyst surface', 'including tpd', 'catalytic material', 'active site', 'russiacatalytic process', 'ftir', 'structure metal support interface', 'gained technique', 'russiam', 'reaction intermediate', 'chemisorption catalytic', 'take place', 'influence promoter structure catalytic property supported metal cluster aggregate objective program pursued application combination various experimental method characterization catalytic material spectroscopic technique'}"
3,"Ali, Mohammod","{'electrical electronic', 'electrical engineering', 'foundation nsf', 'assignment division', 'ali received', 'nsf ipa', 'science foundation', 'sc ph', 'ph degree', 'intergovernmental personnel', 'prof ali', 'respectively victoria', 'electronic engineering', 'communication', 'working program', 'directorate engineering', 'swearingenroom main streetcolumbia', 'national science', 'director national', 'dhaka received', 'dhaka received sc ph degree electrical engineering', 'received sc', 'act assignment', 'main streetcolumbia', 'division electrical', 'program director', 'ha working program director national science foundation nsf ipa intergovernmental personnel act assignment division electrical', 'ipa intergovernmental', 'cyber system directorate engineering prof ali received sc electrical electronic engineering bangladesh engineering technology', 'bangladesh engineering', 'degree electrical', 'sc mohammod ali professor department electrical engineering usc july', 'engineering bangladesh', 'swearingenroom main', 'mohammod ali', 'ha working', 'engineering usc', 'sc mohammod', 'personnel act', 'system directorate', 'professor department', 'engineering prof', 'british columbia', 'usc july', 'canada', 'department electrical', 'sc electrical', 'engineering technology', 'cyber system', 'ali professor'}"
4,"Ammal, Salai C.","{'cv dr', 'bharathidasan', 'ammal pdfph', 'cv dr ammal pdfph', 'india', 'dr ammal'}"
5,"Bakos, Jason D. ","{'reconfigurable computing', 'high performance', 'performance computing', 'embedded system', 'computer architecture', 'high performance computing', 'heterogeneous computing'}"
6,"Banerjee, Sourav ","{'acoustic', 'biomedical', 'wave propagation', 'metamaterials', 'ultrasonics'}"
7,"Bayat, Mahmoud","{'machine learning', 'probabilistic analysis', 'nonlinear vibration', 'structural health monitoring', 'structural health', 'health monitoring', 'earthquake eng'}"
8,"Bayoumi, Abdel-Moez E. ","{'digital transformation dr bayoumi ha received funding department defense', 'behavior material', 'tribology', 'center predictive', 'aerospace engineering', 'ha year', 'mcnair aerospace', 'conference paper', 'relation professor', 'activity focused', 'program mechanical', 'monitoring system', 'national science', 'mechanical biomedical', 'national science foundation various industry ha published journal conference paper', 'prognosis life', 'joining usc', 'condition based maintenance', 'associate dean corporate relation professor mechanical biomedical engineering prior joining usc', 'year teaching', 'hewlett packard', 'director mcnair', 'dr bayoumi', 'department defense', 'aerospace center', 'digital transformation', 'ha received', 'received funding', 'nuclear aerospace', 'sc bayoumi ha year teaching', 'material engineering', 'strong program', 'engineering activity', 'transformation dr', 'diagnosis prognosis life prediction mechanical system', 'health monitoring system', 'mechanical material', 'manufacturing process', 'project manager', 'mechanical system', 'director center', 'engineering washington', 'professor mechanical material engineering washington state ha actively involved developing strong program mechanical', 'corporate relation', 'involved developing', 'based maintenance', 'developing strong', 'industry ha', 'prior joining', 'various industry', 'biomedical engineering', 'journal conference', 'diagnosis prognosis', 'packard company', 'north state', 'project manager hewlett packard company', 'state ha', 'nuclear aerospace engineering activity focused mechanical behavior material', 'focused mechanical', 'engineering prior', 'director center predictive maintenance', 'mechanical aerospace', 'prediction mechanical', 'condition based', 'industry experience currently director mcnair aerospace center', 'science foundation', 'engineering north', 'ha published', 'health monitoring', 'dean corporate', 'life prediction', 'main streetroom', 'manager hewlett', 'funding department', 'wa professor', 'actively involved', 'biomedical', 'professor mechanical', 'mechanical behavior', 'currently director', 'ha actively', 'industry experience', 'washington state', 'predictive maintenance', 'wa professor mechanical aerospace engineering north state', 'department energy', 'foundation various', 'sc bayoumi', 'associate dean', 'published journal', 'experience currently', 'bayoumi ha'}"
9,"Benigni, Andrea","{'main streetcolumbia', 'swearingenroom main streetcolumbia', 'sc', 'swearingenroom main'}"
