researcher_name,skills
Arindam Biswas,"accolade, area, arindam biswas, associate professor, challenging problem, city building, city mission, complex puzzle, cursive handwriting, department, diffusion, doctorate, engineering college, indian institute, indian urbanization, needed focus, opportunity, paper, purpose india, responsibility, result, sentiment analysis, sincere appreciation, smart city, smart city mission, spark, strength, student, urban development"
Avlokita Agrawal,"agrawal director, akhilesh kumar, architecture, author, avlokita agrawal, building, building control, building control system, commitment, concept, control system, education institution, fundamental, global warming, government institute, hei, high education, high education institution, historical development, immersive experience, increase population, manuscript, model, monitoring mechanism, new dwelling, new zealand, new zealand government, nikhat parvez, north india, outcome, paper, place, premier government, premier government institute, sandeep agrawal, sandeep agrawal director, study, zealand government"
Gaurav Raheja,"abstract modernism, approachesnon rhetoric, architect, architectural approach, architectural concept, assistant professor, critical regionalism, design culture, different approachesnon, different approachesnon rhetoric design, diverse campus, education campus, enabling environment, environment, exist literature, failure, gaurav assistant, gaurav assistant professor department, gaurav raheja, high education, high education campus, indian city, indian railway, indian railway station, interview study, local need, mean attempt, million toilet, multidimensional challenge, paper, paper share, professor department, profound understanding, railway station, result, rhetoric design, social thinking, social thinking outlook, sterile abstract, sterile abstract modernism, teaching practice, thinking outlook, traditional teaching, traditional teaching practice, visual impairment"
Harshit Sosan Lakra,"assistant professor, doctorate, harshit sosan, harshit sosan lakra, sosan lakra"
Mahua Mukherjee,"aptitude, asian region, author link, building science, demand, density urban, design communication, digital interface, disaster, doctoral study, educational institution, event, fragile infrastructure, geographical information, geographical information system, global population, graduation, india, information modeling, information system, integrated digital, integrated digital interface, low density, low density urban sprawl, mahua mukherjee, mahua mukherjee study architecture, mukherjee study, open overlay, open overlay panel, overlay panel, paper, present city, procedure, shaila bantanur, shankar, situation, study architecture, sustainable total, sustainable total living, total living, urban sprawl"
Prabhjot Singh Chani,"army cantonment, assistant professor, bhubaneswar precinct, city, cost housing, cum hydro, different window, different window wall ratio, embody energy, embody energy rate, energy consumption, energy rate, energy simulation, energy simulation test, heritage site, housing scheme, huge implication, hydro turbine, illinois institute, internal service, low cost, low cost housing scheme, major component, office cum, old bhubaneswar, old bhubaneswar precinct, paper, paradigm shift, prime religious, prime religious heritage site, propose office, propose office cum hydro turbine test lab, rahman azari, range, religious heritage, sacred site, simulation test, test lab, thermal discomfort, travel experience, traveller, turbine test, wall element, wall ratio, window wall"
E Rajasekar,"arcgis software, area, build enclosure, build enclosure wall, building, building construction, building construction industry, building wall, carbon emission, civil line, climate datum, climate severity, climate severity variation, climatic condition, composite climate, construction industry, design aid, different building, different building wall material, different climatic, different climatic condition, dimensional model, east, enclosure wall, heat conduction, impact, increase number, indoor lighting, major source, multi storeye, multi storeye building, paper, residential zone, residential zone civil line, severity variation, software, storeye building, thermal property, transient heat, transient heat conduction, wall material, zone civil"
Ram Sateesh Pasupuleti,"ajoy kumar, ajoy kumar ray, area, author, authority, book, chaos chaos, chaos chaos intermittency, chaos intermittency, chicago loop, collection, concreting project, current pace, disaster management, disaster risk, disaster risk reduction, faculty member, financial support, great shift, high quality, high quality peer review paper, histopathology image, hydro power, keynote talk, kumar ray, main campus, mass underwater, mass underwater concreting project, mechanism synthesis, mega hydro, mega hydro power structure, memory storage, memory storage system, novel approach, oral histopathology, oral histopathology image, peer review, power structure, professor ramgopal, professor ramgopal rao, quality peer, ramgopal rao, relevant book, renowned architect, review paper, risk reduction, statistical form, storage system, underwater concreting, urbanization crime"
Saptarshi Kolay,"area, bir snflandrc, capacity building, colleague, conference programme, connected intelligence, dedicated group, design, developmental professional, developmental professional science education, edilen naive, foremost, great productivity, greening, heat island, iisc bengaluru, indian institute, information design, interdisciplinary capacity, island effect, istatistiksel snflandrclardan, kolay bir, kullanm kolay, kullanm kolay bir snflandrc olarak, large dedicated, large dedicated group, manufacture enterprise, medicine label, naive bayes, national importance, nishath salma, professional science, review process, saptarshi kolay, science education, snflandrc olarak, sphere, student volunteer, support, temel istatistiksel, temel istatistiksel snflandrclardan, tercih edilen, tercih edilen naive bayes, translational interdisciplinary, translational interdisciplinary capacity building, urban heat, urban heat island effect, use, world, young researcher"
Shubhajit Sadhukhan,"auto rickshaw, background india, book, country, demand management, demand management instrument, dixit approach, economic industrial, economic industrial development, fluidize bed, fold growth, future, ghg emission, give area, green house, green house gas, healthy environment, house gas, important mode, industrial development, international conference, letter, management instrument, metro station, number, para transit, priority, proceeding, public transportation, role, sixth international, sixth international conference, static geometry, survival, transfer facility, transportation sector, vortex chamber"
